Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,18.010000,19.000000,17.980000,18.830000,18.830000,87148700
2019-01-03,18.420000,18.680000,16.940001,17.049999,17.049999,117277600
2019-01-04,17.549999,19.070000,17.430000,19.000000,19.000000,111878600
2019-01-07,19.440001,20.680000,19.000000,20.570000,20.570000,107157000
2019-01-08,21.190001,21.200001,19.680000,20.750000,20.750000,121271000
2019-01-09,20.889999,21.440001,20.070000,20.190001,20.190001,163944100
2019-01-10,19.760000,19.830000,18.900000,19.740000,19.740000,115629400
2019-01-11,19.469999,20.350000,19.190001,20.270000,20.270000,85110800
2019-01-14,19.959999,20.620001,19.750000,20.230000,20.230000,71350200
2019-01-15,20.440001,20.680000,20.260000,20.379999,20.379999,62785800
2019-01-16,20.400000,20.540001,19.709999,19.730000,19.730000,70849300
2019-01-17,19.490000,20.510000,19.020000,20.250000,20.250000,85018400
2019-01-18,20.370001,21.049999,20.020000,20.770000,20.770000,88131000
2019-01-22,20.480000,20.920000,19.700001,19.760000,19.760000,78513700
2019-01-23,20.030001,20.480000,19.549999,19.799999,19.799999,77811300
2019-01-24,20.059999,21.010000,20.040001,20.850000,20.850000,97433400
2019-01-25,20.990000,22.030001,20.790001,21.930000,21.930000,110239500
2019-01-28,20.320000,21.010000,20.020000,20.180000,20.180000,135164100
2019-01-29,20.260000,20.389999,19.049999,19.250000,19.250000,131202500
2019-01-30,21.490000,23.129999,21.370001,23.090000,23.090000,211421200
2019-01-31,23.020000,25.139999,22.830000,24.410000,24.410000,182575600
2019-02-01,24.610001,24.840000,24.070000,24.510000,24.510000,105356200
2019-02-04,24.430000,24.660000,24.070000,24.129999,24.129999,70843800
2019-02-05,23.420000,23.860001,22.980000,23.309999,23.309999,122226000
2019-02-06,23.629999,24.139999,23.219999,23.260000,23.260000,78684300
2019-02-07,22.990000,23.219999,22.320000,22.670000,22.670000,86723900
2019-02-08,22.330000,23.280001,22.270000,23.049999,23.049999,78129300
2019-02-11,23.049999,23.280001,22.660000,22.959999,22.959999,60578700
2019-02-12,23.430000,23.559999,22.750000,22.820000,22.820000,67595400
2019-02-13,22.980000,23.240000,22.709999,22.850000,22.850000,57544200
2019-02-14,22.740000,23.370001,22.590000,23.129999,23.129999,64441200
2019-02-15,23.580000,24.049999,23.200001,23.680000,23.680000,78644100
2019-02-19,23.629999,24.410000,23.610001,23.950001,23.950001,57517900
2019-02-20,24.139999,24.370001,23.900000,23.950001,23.950001,57091600
2019-02-21,24.040001,24.330000,23.850000,23.920000,23.920000,49608200
2019-02-22,24.049999,24.360001,23.879999,24.360001,24.360001,52650700
2019-02-25,25.010000,25.520000,24.680000,24.709999,24.709999,63221000
2019-02-26,24.650000,24.719999,24.150000,24.209999,24.209999,48470100
2019-02-27,24.110001,24.230000,23.209999,23.480000,23.480000,62649300
2019-02-28,23.209999,23.670000,23.110001,23.530001,23.530001,39384900
2019-03-01,23.969999,24.190001,23.450001,23.680000,23.680000,48084000
